OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,2029,982,5201,4288,7117,6901,2764,1715,3129,1115,2006,6842,7617,6572,6478,6972,769,6319,5531,9414
+,954,1116,1261,7308,9715,9349,8525,5617,5790,7051,8878,772,961,1993,6035,2876,3898,768,2840,9204
-,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,145,347,4411,6495,1250,8639,6371,7086,1100,579,2539,9364,2507,4762,9320,4057,1627,3653,4247,6151
+,5707,1809,3119,3132,9754,4783,9975,3552,8767,5199,6870,4837,6435,8017,4328,4504,4981,6339,7201,3189
-,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7809,1813,9812,7931,7802,8519,716,7156,9823,5921,399,4283,1787,2119,59,8246,9485,6528,5811,2058
-,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6587,5831,5982,8375,7207,7810,4318,6453,6944,1570,9704,7961,9408,9022,9054,3021,5465,597,8801,6391
+,3017,1452,8271,3282,3227,3080,3470,7206,8591,7658,8020,1915,3043,1036,5606,3772,7560,2559,7833,7331
+,5032,2303,422,8973,5870,9518,4110,6635,6715,9418,2013,5463,4179,9734,428,3025,8244,7161,3174,7178
-,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,726,7077,4183,7023,939,5404,586,8906,1404,7037,5075,2656,8871,1100,7475,949,7128,1157,3967,9677
+,8932,7202,7634,1176,3856,5153,4077,5700,5233,6994,8940,5108,2814,3264,9430,2711,8193,2905,8265,5912
-,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7034,9041,1809,2719,3045,2146,6207,9146,8228,3494,3792,1633,8667,3770,5893,4034,619,9815,8421,741
+,6913,9674,1757,2516,9178,6321,2142,7122,437,6617,1165,7399,1596,5823,2425,6339,8540,5143,9077,9076
+,4581,5295,6695,1974,8597,8823,4271,1533,672,2739,9605,5708,2691,772,9792,3859,5989,6946,4452,5022
+,9225,9980,9259,7376,7279,1156,2973,6490,2221,9232,4882,4214,4045,3911,2877,3682,9948,9469,2483,5436
+,3695,6631,6562,8552,8858,852,5104,9952,5591,9785,7529,7744,4990,130,9116,8628,7504,7472,9290,4296
+,8773,9838,5430,2921,6999,6767,9251,7347,1061,243,1318,4833,2449,9563,93,1000,2021,2910,4262,7836
+,914,780,2268,1049,4098,6630,168,6490,1452,8605,1148,443,9662,9770,8730,6585,7078,526,3274,511
-,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5211,7068,8010,5519,1582,822,3549,3497,3974,971,620,2771,3397,4067,4174,4930,6683,7379,6356,2945
+,6294,1890,6967,6430,6499,603,3768,3762,96,1088,1900,9675,9627,2827,7985,4363,5729,608,9154,5769
+,5308,1875,6636,969,4073,7142,6690,7957,4690,3689,922,9296,3947,9025,6055,3114,2109,5976,5201,8670
+,3373,3546,6509,4714,5558,8635,4173,2517,3942,5331,9569,3851,9003,198,5421,1276,2533,31,1384,5013
+,9712,7354,996,3951,6450,9388,5321,7621,2904,275,4378,9656,9324,3420,6565,5080,9696,3532,763,4385
+,443,7802,5330,3632,4039,2699,3037,5164,1452,4962,6976,8675,7869,7734,5866,9886,5330,2062,7933,2999
+,530,8271,621,4969,4065,9730,1457,9198,6448,6547,5219,1083,9953,3300,9863,3282,3630,3709,3052,6396
+,9792,7661,7462,8463,1467,5082,5315,6263,4868,8937,4527,8764,1102,2944,2403,3494,6281,3646,6077,373
+,4408,6719,7,8606,6381,5728,3311,227,5889,2554,8322,1784,9917,8475,8339,7727,6669,3576,8936,5376
-,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5385,4325,8835,9110,8856,6563,3256,9324,6767,5043,5375,9514,1153,7844,7383,2051,100,570,9833,2425
+,7528,9391,9639,9207,2929,2098,2826,2226,8986,286,2834,7421,3863,6825,4472,6076,8501,2539,5292,3949
+,2487,1205,7743,8800,4662,5214,8236,1798,3481,8802,4224,1797,8494,8805,5433,6099,8350,4151,1110,1533
+,5655,8664,2331,3092,5715,9246,1915,6237,7190,8951,914,6410,8676,5291,6042,1681,2592,1330,1205,7311
+,4449,5612,8042,8311,1702,5479,8262,405,499,9043,6456,180,9277,5474,8587,6533,1367,2592,9809,124
+,3791,5863,920,9257,4347,9712,3951,792,4994,1788,5805,8281,3520,135,6099,7449,6278,4697,81,3441
+,311,4334,4602,3461,7607,3036,8565,5256,9740,6624,3197,3970,2605,4616,6540,1459,5950,7349,8025,1125
+,9058,5254,9076,3522,293,9745,9360,2386,6577,4195,7792,8710,9685,6238,4050,2075,610,9638,2657,7550
+,9255,8382,664,931,7055,7679,7553,2111,9820,121,2210,384,4694,8549,19,4011,1828,7360,2195,468
+,1255,1160,2906,5610,9122,8452,6350,8635,2201,4577,675,118,9783,7096,7738,2637,4959,9118,180,5269
+,7577,1347,9398,2912,8465,6341,2438,9336,4637,9755,9357,7379,8915,596,570,821,2705,5977,5112,5483
+,5504,2650,4564,88,4138,7735,839,1977,2812,6655,8792,7777,9386,5027,3075,1830,9425,65,3387,4839
+,5722,5902,586,6628,5713,6950,2233,519,1818,1034,3202,1509,1963,9851,3156,3441,5454,3878,2227,5190
+,2318,1601,5885,9304,2563,1886,3874,5390,8538,3243,4259,3807,8964,8467,6938,6706,1985,1154,6965,5728
+,5342,3294,1000,1318,9655,3380,8910,3670,2084,6541,6250,6086,4978,8668,4876,7642,2648,3733,1394,9716
+,9800,564,2402,9377,7918,4729,8890,1400,1424,656,7026,5873,5931,398,182,8070,7263,3862,5187,4057
+,7412,357,7953,715,2321,4230,6125,1730,2078,218,5248,4289,9885,8540,6138,7994,2227,981,8817,8522
+,3225,5059,3931,8126,6908,7158,4570,435,4305,3770,5392,1713,6218,3254,5218,3880,4845,8157,7340,7898
+,2975,3113,9160,3647,9920,8248,4927,5279,1598,9221,3285,3351,169,8559,6320,4545,8958,8603,8144,518
+,9602,2573,8105,5250,2600,6902,7770,4727,9663,7084,4538,5003,1186,8832,3501,9793,4085,8059,9806,5591
+,1876,776,7289,4175,2251,5837,2978,5593,8344,1707,2742,8851,995,4520,3276,6932,4846,1204,2526,7035
+,6209,3332,711,2997,7339,1528,7163,3699,7708,1832,7987,1232,5169,2189,8630,426,5083,3629,3652,7706
+,5448,3061,5178,9781,1861,2852,1676,5521,7363,5774,9787,8565,1212,6394,9192,3586,8581,8987,5939,7836
+,7916,7310,7216,9796,2564,3708,7725,7622,4497,1078,8733,2572,7945,764,1175,1514,5930,6222,2627,4965
+,6711,7187,3000,1540,8761,687,9968,3967,2667,9376,3674,6871,2004,9395,5933,7422,2383,430,812,6370
+,945,9560,1074,3571,3601,6536,2829,2315,1746,699,4144,9229,9133,7028,7366,8922,4281,9466,1052,2384
+,1824,382,4959,6166,6420,8627,5210,2360,5328,4411,4590,3833,7422,423,3310,9765,2494,6594,9479,880
+,2353,700,2720,8699,4190,7355,6820,2412,7324,7752,8917,8729,4596,4804,1593,4489,1022,8915,5135,6
+,8013,6753,968,1586,6767,3031,4675,3464,434,7440,9263,199,1330,7419,2519,9671,5093,2364,510,4645
+,9066,174,6946,3993,1035,4495,7430,6771,9608,4865,5781,4898,7257,5129,8203,3596,2068,8115,9707,2920
+,673,3151,2137,4348,4242,8376,1375,1329,1490,8886,2640,6745,3471,1057,9353,4682,9325,126,9746,9703
+,3842,5551,4487,7559,8842,4473,5122,9185,1444,4970,1484,4321,7272,3970,7233,8542,9156,6088,5947,7178
+,7679,9139,487,241,322,3079,7131,2779,7588,1195,540,2542,1471,6699,7220,177,2164,7776,9878,914
-,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4608,5094,4722,6969,1407,583,1039,6453,960,1329,583,5748,6233,9972,7645,2049,7568,8815,2768,1892
+,9955,2005,5148,2728,8006,1068,7405,6057,6972,39,7707,7116,4143,8648,3843,9597,3447,6777,2086,8213
+,6672,9655,2790,2463,7758,3007,2177,143,9628,5077,1661,8586,9028,1995,8802,3407,3352,9032,8480,742
+,896,5810,8657,4064,1336,5027,5060,3470,1261,6966,6933,3791,9992,3611,4268,7922,4859,6464,9107,1987
+,6286,8748,1626,668,2305,9286,655,9540,9409,893,529,3124,5585,5047,5953,7370,1844,1464,4122,6847
+,839,2116,6911,2535,5307,5061,2750,7087,463,4154,4066,4612,8338,1216,5151,5283,1159,5803,4226,3813
+,2107,3152,5180,7532,5168,3871,5447,2141,5477,5844,9836,9343,8181,5168,6113,7440,8525,500,3174,3760
+,1221,8975,3345,3904,5466,7671,5505,1528,8602,3285,6186,9950,340,1866,1216,77,4804,8966,3376,9898
+,5473,7311,2130,5331,6131,2337,7839,5554,6670,1336,2518,7448,3760,3932,2364,6825,5859,2983,4867,6307
+,2133,5111,9025,9687,6248,7350,3228,6467,9249,9514,4275,544,8692,8157,695,2315,9155,4097,508,3824
+,9537,1937,1866,8263,6242,601,2479,1365,7555,9481,9170,1910,4896,1329,49,68,4123,4513,4709,1641
+,4579,1157,594,5700,9402,2155,8285,8814,5989,4525,9627,4736,1456,7227,8917,4326,6673,6726,4202,6735
-,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6805,3300,5490,9025,9815,1591,554,9324,9684,5358,5263,646,2943,2921,660,8703,418,4564,6710,757
+,7085,3135,4064,5135,2604,5884,6210,8591,6346,3541,8403,9995,4737,3424,9044,4017,7269,2779,2994,6847
+,5988,3755,4509,7162,418,4550,1799,3953,3508,6349,1458,4580,9864,2876,7385,2199,1446,9146,9187,4276
+,6184,5251,2190,8756,1145,2394,1503,4613,8093,1789,6113,9964,1549,2603,7218,9248,1411,8168,8799,6677
+,3311,6721,5672,3135,2646,4714,4248,8125,3513,7910,7160,3335,360,159,6994,7208,478,8698,5241,8223
+,7802,2989,7235,1971,2190,4922,8345,9002,8083,8805,7467,8523,2008,2619,5350,1921,2004,123,2657,9479
+,1763,8434,3773,1360,1941,8721,7224,7464,8481,6597,7079,1731,7967,3395,8521,7948,1015,8101,7973,1716
+,5798,7015,493,7687,3166,9779,7055,5477,264,3677,7816,5039,9842,8756,8343,7859,8434,1210,443,4035
+,4741,6101,7796,9369,679,6148,8975,5510,1907,2075,4979,1726,5719,8657,3975,7716,5884,2342,1524,6850
+,9050,5418,1377,7701,9317,5098,9664,4126,4332,7403,3728,5361,6570,2889,9117,5547,9724,7263,4548,780
+,9277,6757,124,1276,9655,5599,8436,1544,3094,5307,2774,4378,6682,2595,1968,3082,3488,1134,4901,8692
+,2680,3417,7258,5467,8159,2336,9053,7891,9492,7270,8222,5605,1572,3558,7991,4681,1315,6189,7125,7490
+,4375,281,5081,5530,9723,3870,8267,705,8384,7803,3094,9664,3844,5033,9243,8161,7315,3660,6067,5853
+,8204,3386,2796,6479,8270,1997,8331,8766,7758,3084,9799,7297,2791,957,3380,3534,3084,4660,1875,8101
+,3968,5961,6720,2291,8686,9640,644,8436,5090,488,7417,4291,5562,9227,9709,8718,5133,3613,4289,8719
+,1848,8356,4966,2768,5824,5437,1706,3631,8449,4736,7688,4102,7977,6747,3567,3444,1078,5558,5914,1887
+,1157,4035,4925,4861,4807,1193,7698,5334,5363,9449,2168,2278,9388,5372,6000,2612,7719,1476,5241,1555
+,5720,4163,883,493,7478,8029,8814,2816,6893,5613,3114,1533,2966,3583,6414,3369,4067,9444,3978,3202
+,8042,2828,7425,1294,5366,6797,3515,4362,8123,3983,3769,6532,8309,8886,6720,5238,8522,7119,800,6956
+,8762,3135,3377,3549,3124,191,8928,8943,5044,9419,9606,3966,3978,8600,7198,3714,7018,3426,4664,7768
+,4324,3899,4278,5492,3271,4728,9483,2923,8580,4946,9086,3840,679,9393,6972,2096,4938,190,6119,9732
+,3255,7717,294,4096,707,9713,7798,5344,8119,9149,9435,8995,3654,8734,9673,2571,6945,1919,28,2903
+,8197,454,1995,3751,307,5688,2049,9223,7503,9560,4192,9328,6478,2529,144,9414,1336,2286,8503,4256
+,4764,6455,2114,6592,5882,2921,5684,423,3444,8324,9143,6440,79,3338,2391,2511,5449,462,4163,4550
+,5277,706,5406,7129,4546,5013,4515,4645,999,7692,4937,1294,7698,9556,118,6398,7623,9599,9694,2660
-,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8683,5518,3884,7919,1933,197,4032,7277,4805,7902,5318,3595,4766,7042,3191,4453,8894,8025,4147,5244
+,9989,3946,3667,1298,4377,8005,7771,2315,3185,1724,738,605,7533,6812,1954,4615,3963,937,7739,6309
-,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,147,3263,6435,2910,3459,8470,4035,4173,6467,4129,9128,1207,6112,1436,4484,1817,8731,6268,5012,3451
+,9089,1009,9774,5331,1264,3613,3325,2034,3575,2974,2670,7059,9693,3586,6757,177,4384,3103,7535,4179
+,6134,4765,7325,8499,7623,6092,5895,8843,2533,9449,6662,7179,8684,3966,253,2215,2303,4554,5909,2082
+,8766,6411,4139,991,840,6271,990,2791,6557,3944,8479,7644,8515,1526,5747,5750,6957,7500,8859,2090
+,5973,2974,5187,3485,3575,5974,412,6825,4313,3112,2475,5437,5381,8169,2841,9084,4240,4825,815,3996
+,6162,3451,4109,8309,9955,2591,8909,4222,7916,8179,159,87,9032,4086,8960,2501,9369,6912,9082,1251
+,8651,8642,5059,4452,7891,9263,3987,6161,2138,1282,2977,4502,7496,8197,8297,8919,3560,3315,4723,1480
+,3616,9583,946,6478,785,1434,8644,3881,9346,9562,5146,8927,6588,1172,8941,1265,5248,2766,853,2997
+,2645,8662,2772,8203,8282,6165,7719,1072,7936,5546,2849,7303,2427,7873,7033,7193,4143,9971,4126,7030
+,6420,2172,3615,3120,2160,2887,1474,8903,654,8386,9338,9025,7061,7733,5909,7602,1023,4150,3479,8794
-,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4685,8185,5387,2481,6161,5911,8187,4184,7998,7880,3626,2510,4945,2780,6437,138,7547,5282,980,244
-,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2914,1191,7835,2036,806,4863,660,1926,6121,964,2897,7401,3297,5748,2943,7493,1371,9027,6350,7636
+,3045,8749,2294,6281,4020,8042,1071,634,4687,8486,3827,5358,676,345,3634,4822,587,838,8398,4173
+,8104,8973,4006,4954,9235,2459,2338,5679,4856,2518,7168,5843,5139,394,6967,6015,2395,9544,1605,1144
+,3260,7280,7625,3298,6039,2283,9116,2482,8375,3577,2909,1947,6902,8130,1400,8829,8050,9266,745,6554
+,6885,6263,8368,6558,4458,3167,212,2574,2434,1760,3524,6439,6507,2120,968,2265,7902,9133,8525,9070
+,288,1891,638,6742,4467,2621,6842,4141,6770,2201,4557,2921,8227,2919,7775,3855,412,5860,8446,9269
+,1057,8849,7190,7800,2214,146,9022,6878,1619,9045,615,5805,9678,5201,4413,203,2730,436,2106,7919
+,2540,113,2475,6418,3643,4880,3759,8157,9994,6958,1627,7893,78,6404,820,5899,7347,9642,7460,7402
+,5753,8206,2278,5455,2648,8455,3905,4334,1456,837,7002,147,201,9059,5946,5214,5059,4313,1805,8725
+,5235,5233,2409,1986,4562,3571,7048,2865,535,3131,2774,3758,8040,4642,1735,2975,9845,6190,1965,1502
+,5761,3674,7424,9000,4552,554,2375,1688,7198,4289,7358,6272,994,1923,1598,1928,5605,8379,1791,6904
+,6554,2855,2587,2444,4685,2352,4294,921,9522,5225,9797,2327,8778,3777,5149,3397,9586,5284,6337,6262
+,8446,8648,8775,7591,6524,6142,3486,4373,3370,5019,6338,8500,1784,4836,135,941,8146,7091,5217,1029
+,6518,7760,1233,5460,1544,6614,8075,9308,573,8824,9832,71,8984,7705,6075,8268,7360,3664,1623,7999
+,6971,1006,1902,6958,9991,3042,6214,559,8095,3646,2663,3688,5963,2248,3959,290,2957,7718,5712,2579
+,6669,5252,2009,3610,5189,9709,355,2680,1917,7202,6632,5664,1984,7800,4539,7142,9660,6538,1327,3542
-,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8789,9339,2728,963,5559,1115,1474,2061,5572,6901,995,3186,88,9474,6062,1372,3540,9554,7756,9278
+,6176,1139,600,3359,686,1425,7105,1595,3608,8820,2290,9990,879,1936,9418,9298,5627,8097,1414,8039
+,3783,3632,688,4234,6636,2270,6776,5658,8540,4088,8951,7009,877,6757,6288,1458,5033,8103,3781,7005
-,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6828,8255,2219,1932,8655,4315,4193,4691,1887,7375,6490,819,712,5139,3214,2245,2552,577,960,7633
+,7343,2662,4486,6164,839,1436,3006,578,2617,3339,679,4459,6265,1379,4574,499,1580,4296,2750,1128
+,9916,7391,2414,7991,6874,7680,4769,3412,5457,1391,1486,6648,1430,2129,5664,8961,8166,7268,360,7175
+,4751,2651,1608,2075,2733,1147,3910,8277,1478,1084,1728,1003,7455,7615,8527,4612,6278,8525,8928,5601
+,5082,9570,1257,6572,6537,6059,1495,7163,532,421,9165,2077,1719,4057,1648,9125,626,6961,5136,6161
+,9851,5922,4858,7716,901,8739,8473,2551,1876,2270,996,2118,1310,9511,271,9917,4349,4913,2708,6196
+,319,9425,604,3286,2261,9391,1633,1521,9446,229,3941,3526,4833,835,9805,3020,9412,9576,8592,5164
+,4909,2087,9655,5492,440,4564,5854,5911,7254,2528,8796,554,3813,6706,2006,9890,4738,2124,6054,4904
+,2854,8064,4286,5738,669,709,2770,593,6494,5315,2826,9180,4475,2317,5326,5011,7695,9843,2860,1641
+,8676,8709,4916,5617,548,5352,2375,3195,8947,6387,4415,4620,4590,5004,179,4560,68,9206,594,9346
+,5845,2997,6808,1517,7389,366,8327,201,3342,8316,5710,6471,7489,967,8915,5592,145,7616,3818,1415
+,1396,4758,5665,8004,7988,1310,8824,8043,7616,7495,9724,7689,4072,6104,1314,1713,8493,522,630,6561
+,155,6639,2874,9872,3088,3786,6819,4832,302,263,5,162,6579,381,3580,5721,9119,2154,2939,8778
+,714,5601,3944,3001,5554,5620,9637,8170,6498,7801,8527,5941,2139,1223,1200,2817,5831,275,589,4320
-,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4963,3188,962,1762,7449,3402,4169,6162,4365,6036,4234,8119,4082,9790,8721,7347,7296,6318,5330,9661
-,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6167,4033,8344,1469,9020,5734,9333,6234,3379,6198,2180,7532,4203,3941,8316,4156,6003,3491,9062,5197
+,8855,2305,3164,2342,5843,5086,9353,5242,1157,6969,8877,6206,7039,4780,4271,5184,1452,5444,1266,8458
+,5788,245,9620,2477,7069,4036,4384,2269,5217,2351,317,5558,6228,4684,7101,9017,14,7549,5024,7052
+,4180,8572,2501,9366,8728,8792,9751,8688,1867,6828,7426,9649,8448,8931,726,9723,8548,6179,7886,6749
+,9346,7007,5834,7323,288,8808,4779,4607,3077,7233,3554,68,9169,5322,5592,7485,4255,23,7355,3045
+,2269,3030,8452,3457,7273,9685,7163,2394,3123,9163,207,9727,6205,4130,7140,8525,2374,3350,3768,4369
+,4490,5523,3102,9898,5061,8472,5944,3543,255,2802,6286,7484,8556,8113,6707,6290,2672,6925,840,8865
+,8554,3968,5391,4785,5328,913,8940,8980,1109,9726,675,2648,3548,4241,5870,3200,539,8849,2387,9278
+,6714,3002,6922,711,3171,4966,5191,5384,1828,1285,4386,2687,2365,5028,9333,5183,3790,4629,4357,2368
+,3932,6309,5463,1887,5275,6855,6819,9765,2978,9147,2182,9568,430,5169,9551,5338,5595,3879,3132,8564
+,8209,3865,377,1285,4289,1413,1578,2174,1430,3985,6818,350,7622,7587,3155,5199,4978,7096,9102,67
+,982,4423,946,8403,6958,244,7449,6497,4008,8695,9627,4931,435,2009,3106,3641,4494,5075,2093,1395
+,2678,4726,7175,2238,5431,3709,1789,8730,8218,3495,151,9094,372,9224,5913,2410,6838,4628,3083,5980
+,3965,5474,4156,2077,879,6672,100,4328,2183,6929,2127,1627,6026,1226,5320,9952,1995,1875,6092,6684
+,7184,3942,7662,142,7468,2760,8818,2908,7630,9060,6273,5001,35,8279,3194,989,5108,6921,9869,5088
-,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4371,5191,1463,6513,6281,2688,9455,310,276,9116,6420,8543,4727,2323,3668,296,3837,5426,8801,9022
+,8268,8479,3008,9012,7109,3350,249,8732,9033,6954,4847,5706,8884,6535,1547,9143,8585,6835,6113,5619
+,3514,4853,1865,1156,539,9040,8379,6772,8298,3588,5661,5459,9094,9780,4259,9350,8182,7596,1887,7533
+,6933,6606,55,2248,564,6964,8492,7957,2849,6783,1353,4857,66,1341,7800,7,8157,909,5360,22
+,7252,5572,9683,7857,5159,5295,1968,1510,6989,5365,575,1733,8538,7401,6599,2303,5813,913,9866,7621
+,1736,1730,3364,27,816,1549,7978,1855,5048,5567,4532,2967,8559,8749,1302,9530,1672,9692,1133,4973
+,6641,3613,6535,8073,7443,924,4757,1263,7183,241,164,6806,5978,6682,2968,8487,7346,5219,6710,2070
+,3064,1902,4646,4464,7209,5898,9601,5395,3909,3181,1387,241,5374,1513,2044,8640,7450,3974,614,3768
+,3426,5701,5845,1541,9217,8493,1641,5821,6296,6530,9429,6609,4281,4416,1446,9641,948,472,9898,7445
+,9006,7063,9682,308,9870,6449,987,6549,8080,9168,9774,7445,3020,1513,7063,481,2355,1436,1913,3145
+,3796,261,7720,1320,4742,8776,6764,6201,6871,8427,7132,9761,5728,223,6237,9636,2601,2415,7115,2639
-,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1072,8782,7161,4695,4774,9235,3882,2516,6922,7316,5937,2051,4473,888,617,7617,536,8449,9071,6621
-,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6392,4247,6298,4204,5802,7893,6170,6004,1430,9444,3345,3915,1382,2669,2222,6326,5095,6936,5202,3302
-,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2846,7505,3670,9935,8335,3995,384,8321,6676,1259,6157,8170,3965,5592,3772,3966,4453,1121,1552,1568
+,2125,6889,5100,2929,9544,1012,6826,2266,1609,5748,1840,7729,1494,5588,2692,9794,5793,9903,7208,1575
+,9520,3288,8295,9195,6862,861,8729,6322,5019,1661,4859,9437,7890,2366,6747,1309,5625,9898,8126,3916
+,7117,8145,5219,8826,4928,5413,1114,6477,9429,469,3177,978,1456,3508,6171,4784,3989,4610,2903,7315
+,7785,5765,7035,5442,6842,7507,1817,6092,3318,6954,5346,4555,4524,6294,973,4854,699,7851,2499,1125
-,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4034,1654,6845,1666,2873,652,3251,6709,1809,4379,6884,7731,7518,3419,1768,5874,7765,6795,8085,2412
+,5469,8158,1934,8794,4104,6599,86,1232,1925,7400,5586,5490,1226,7667,8099,6162,6329,9249,8471,314
+,9727,8204,3492,6094,1774,9012,2877,3054,6902,2359,6962,6715,4055,691,8535,5763,3431,7443,2962,356
+,7273,7200,3404,1749,4929,4212,1230,620,8256,8130,4986,6797,8277,1432,2694,5678,2862,1729,4369,34
+,1133,9745,2084,1611,4232,5647,4339,3774,286,6380,3085,2515,2108,9047,8434,9199,2962,8782,3433,2914
+,1874,4220,6570,179,9862,449,6480,5335,3482,5333,4692,5408,4255,521,4117,3125,6445,2556,5186,9635
-,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,43,6005,538,77,4937,3191,9766,127,4949,9141,7930,5455,8525,5283,3270,2673,853,3355,1284,696
+,4833,8632,4199,8739,496,3225,3358,2720,339,6926,8314,915,5257,325,550,4045,767,4361,8375,6519
+,1464,7896,9083,1927,6079,4202,368,8803,6224,3839,8029,1619,2688,3221,274,5686,9765,2545,6522,9577
+,7794,4684,869,9457,8067,3512,2104,6693,7283,5091,303,1210,5331,3227,1415,9434,2527,9557,5496,6725
+,8376,9989,8064,287,7686,2016,5584,4510,916,6610,9833,3209,242,9474,135,702,2706,2910,3982,5214
+,9739,4810,8459,9437,7534,9007,4879,8631,8529,5461,319,5110,1163,616,3217,6521,1042,3808,1517,1337
+,6372,4368,3450,1942,8983,3546,4219,1721,3614,8313,5167,6748,8389,3552,7365,5854,6774,3328,6621,4268
+,1190,4909,9689,722,4280,4341,280,2656,410,4055,7989,7358,8019,4458,9317,4289,4889,8816,191,4369
+,3734,2775,1359,8063,5849,4629,508,1513,9987,4681,2743,9501,6778,2723,7493,8535,7627,8849,3508,5978
+,6111,9533,4146,5887,5673,5781,5624,2891,903,2939,1405,3630,8621,9497,3521,4715,9704,1386,2427,6041
-,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6155,9831,8475,7810,9518,4109,6987,6905,8626,683,121,2614,5724,9720,407,1765,7804,3350,3439,3331
+,4218,6477,6302,2953,6260,8667,9685,8802,5877,1207,7027,3048,4360,8429,1357,7657,5912,855,7492,2952
+,4644,9955,4213,585,6003,3173,3703,3146,2899,2826,6353,5878,3778,4925,4324,9863,7277,8263,3729,2782
+,4150,6213,9579,5456,1137,6247,5633,8055,7300,2142,4079,7786,9819,1764,2746,2512,6372,4995,8784,837
+,8637,8220,6965,5638,5253,6597,1023,1,6794,3978,5836,5478,2865,5190,9397,536,7453,8773,9346,5860
+,1337,61,9559,8019,4689,7918,9799,5106,2810,7467,2504,2495,9193,5622,4416,7137,2797,9681,5025,6802
+,7310,5736,9694,2156,3725,100,6394,827,5592,3486,9547,1663,4510,776,5314,3050,6207,521,1899,1668
+,3952,7730,9198,8016,3715,2611,629,9038,3130,4720,1615,5771,8224,2216,2318,2605,4,7627,459,6845
+,9350,3976,2075,3438,966,8513,3743,1720,4997,3062,4996,7744,9565,1121,8039,239,8146,8083,9685,4935
+,964,6706,2873,3188,4801,6469,3890,524,5352,5827,7598,7461,7502,7051,3203,8239,1209,6043,2009,360
+,6493,1137,1090,7626,2532,1994,6563,2786,1155,1280,4840,1249,2020,845,4975,4706,418,4814,8198,328
+,1165,1306,3780,530,3613,5747,6732,8073,8626,4262,4196,5541,1951,3771,2193,4133,8660,1017,3878,9193
+,9706,3744,5423,4454,5775,9946,6830,3585,8484,775,4093,294,2291,3702,1125,9519,1760,7666,3626,3919
+,4336,1768,824,9114,3592,4012,6624,4598,2236,855,8958,4614,2023,3145,4974,5376,158,9800,1567,4177
-,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5508,4346,7709,6558,9585,1840,5617,2280,1764,5812,1846,6728,1614,5719,595,3131,1491,4442,7368,905
+,4489,3653,8273,1941,7775,6405,5046,4716,2853,837,989,4115,23,9265,1200,431,3266,391,1626,3331
+,5603,751,5233,1305,2179,49,6936,2951,5643,1309,9098,6169,880,7648,8253,543,9999,6265,8619,6792
+,2168,1866,9101,4735,6062,5335,8332,9202,7450,3297,869,9544,6103,1,8488,7235,8496,4195,9670,62
+,8089,957,3843,2482,1519,5680,8261,6070,4346,6448,6574,7117,4155,1383,1268,8485,4597,4389,2987,5083
+,7807,7429,2019,5968,8897,1154,8842,4594,1616,4244,7664,5953,8294,4349,7027,7864,1448,9713,4825,2225
+,1764,249,7951,3354,7007,4136,8894,5268,2150,4079,4426,1026,2214,686,58,7923,5898,7815,1538,1192
