OP,A1,A2,A3,A4,A5
+,4119,6530,9737,7839,4226
+,9297,6255,4994,1585,8571
+,1099,2657,7108,1514,4971
-,295,0,0,0,0
+,3284,9699,7794,1158,2940
+,9777,3486,4441,2743,1246
+,8034,5789,6804,5543,335
+,661,4884,4367,9815,3094
+,5599,2698,1594,6930,97
+,3498,6959,3633,8191,5393
+,309,1630,8264,9240,2328
+,3460,1847,5116,5552,4715
+,9497,7946,9114,827,7476
+,4963,9914,1688,6847,4891
+,3453,1862,3878,2123,9130
+,2549,8353,54,2300,4397
+,178,7560,4062,8420,188
+,6621,6680,166,8518,2715
+,5526,7514,3313,5232,1367
+,1014,88,5220,4074,6039
+,4615,9721,7118,5737,4976
+,69,6955,9039,1562,6736
+,5296,4776,902,6247,4218
-,262,0,0,0,0
+,260,9406,1792,5304,6159
+,4821,1691,3222,4698,2003
+,2646,1381,3941,9088,1607
+,7672,2114,5821,7325,5154
+,5237,783,6131,3469,5389
+,2332,5172,3224,5073,3249
+,9004,4394,9247,5143,5243
-,458,0,0,0,0
+,3967,5558,4367,3950,3542
+,8653,1182,6900,5013,9780
+,7355,2076,55,8534,6540
+,5243,9183,3945,2123,4790
+,8671,665,5515,1372,2332
+,2317,5657,9819,3752,859
+,1530,7970,1736,7115,7836
-,12,0,0,0,0
+,7889,3592,6166,1618,8003
+,2810,9103,6487,1183,196
+,659,6900,9534,9561,4042
+,2977,4609,3438,2789,636
+,1791,2233,543,7062,1037
+,7417,8292,7155,5044,5343
+,3800,4716,6917,7202,2922
+,5226,4131,5299,7818,2347
+,4834,3770,4321,8259,6315
+,5968,7666,7677,4746,1781
+,9327,1930,8420,1215,648
+,4046,836,2441,6354,2198
-,29,0,0,0,0
-,680,0,0,0,0
+,457,1967,6057,7094,1111
+,5715,6607,7880,6407,5703
+,927,1711,374,8989,7699
+,608,4168,8280,6185,6887
+,4387,3513,3334,6683,7645
+,7222,1292,8353,133,4506
+,4455,5551,9307,352,2677
+,873,7283,2897,9801,8669
+,481,4172,152,8327,7098
+,8553,1076,3328,8642,4766
+,8096,8095,7940,8750,214
-,441,0,0,0,0
+,9635,5110,7530,320,2754
+,8758,2592,9064,479,9405
+,918,6748,4250,9945,9692
+,4156,3325,739,9361,8620
+,6002,4003,7926,4162,5055
+,6981,355,6926,7624,9265
+,2122,1300,962,5828,2142
+,9559,5046,9371,1058,8182
+,6028,8379,78,241,1736
+,6479,2100,3787,8124,1152
+,2627,3189,6195,2118,166
+,5667,479,8703,8916,7578
+,4184,8394,3310,9141,3594
+,9713,4603,3579,4021,4157
+,3027,3747,2897,5025,3785
-,481,0,0,0,0
+,7830,511,9454,6256,9832
+,4657,5725,1902,1087,815
+,4801,7825,2582,1948,3317
+,4770,5916,9349,3035,6254
+,1042,1735,6335,8869,561
+,3729,2583,6465,2800,4562
+,77,3287,9554,8313,3021
+,2898,7654,9229,4369,7720
-,121,0,0,0,0
+,6641,2395,620,7249,5666
+,6952,7714,9062,2661,8608
+,2104,2688,1098,9974,4601
-,734,0,0,0,0
+,6823,503,2598,8371,3175
+,4884,6692,3978,4723,1492
+,5176,5515,4865,620,6425
+,978,7757,3001,9243,7318
+,8259,6109,7812,8480,9368
-,458,0,0,0,0
+,8098,4301,4819,7599,5907
+,7017,7854,3500,938,590
+,2616,6633,4483,7779,3262
+,1080,5853,7215,373,3612
+,3551,7753,5899,6550,2696
+,4835,4886,7820,2752,7746
+,8437,4681,3785,6012,8929
-,393,0,0,0,0
+,2233,6976,9835,6212,7989
+,3820,291,7531,3456,5602
+,8196,8176,3568,9616,8457
+,1306,4785,6249,6515,8019
+,9765,5510,6659,2484,1570
+,728,9382,8748,879,132
+,7782,1494,710,764,1368
+,3731,2514,7927,1118,5694
+,7101,1953,3394,8112,7495
+,7469,4542,7385,5196,6299
+,9704,5894,7424,3701,9266
+,3324,9495,1988,3072,3536
+,8006,4533,5568,4877,7665
+,8623,4082,175,7474,5410
+,7106,3589,6089,5474,6273
+,8302,8149,6303,5426,5382
+,887,426,3348,9665,1158
+,5332,6948,6771,5249,9699
+,9999,9303,6410,5140,3446
+,7623,4567,1032,3020,869
+,2622,4964,6389,5683,8711
+,3234,1019,3691,9208,6133
+,8265,1999,2455,1199,3389
+,1148,9071,3480,893,4509
+,3684,8867,2082,3112,1365
+,2855,8014,8121,4991,13
+,2917,7769,3637,6639,3704
+,3335,3888,7554,3135,106
+,6167,4085,9927,1341,9272
+,545,2397,7084,7605,9350
+,7304,4840,5228,9793,5602
+,8136,1740,6935,2555,4941
+,217,2778,9447,7640,6805
+,3983,9216,2508,8746,6137
+,1228,5509,8403,604,364
+,8611,9558,3901,3904,5343
+,5043,6271,654,2550,2585
+,1446,8097,8448,8240,2065
-,594,0,0,0,0
-,222,0,0,0,0
+,6114,8470,535,756,9395
+,8568,5176,368,1191,2463
+,4341,6807,5404,7002,8246
+,1439,1977,1681,9294,3969
+,778,9430,7629,5540,3004
+,922,7501,1881,6044,4826
+,2900,5759,56,5942,9946
-,107,0,0,0,0
+,6679,6908,8785,1247,6356
+,2788,6733,6739,325,6276
+,4262,9149,9462,1658,6681
-,98,0,0,0,0
+,9633,507,6483,9810,7455
+,9221,8131,1385,8112,938
+,9362,2960,9219,9989,5577
+,1191,6708,1489,4772,5946
+,7812,5094,877,7509,1006
-,28,0,0,0,0
+,7738,6317,5211,3699,6249
+,8953,9898,619,2144,7010
+,2593,1078,584,686,771
+,8139,3171,2496,1188,7072
+,9491,182,5722,7935,5454
+,5178,7089,6493,5085,3549
-,396,0,0,0,0
+,4139,2191,3587,2155,3929
+,6106,4359,2922,5335,1208
+,1874,6089,4894,9440,4935
+,394,7687,8933,492,3839
+,2562,9247,5944,61,1045
-,822,0,0,0,0
-,540,0,0,0,0
+,612,7262,6857,6066,2549
+,2959,5526,1095,7007,3933
+,7998,5480,9069,6723,7591
+,7382,2315,1647,581,8155
+,6279,3405,6696,9646,3812
+,7277,4216,5364,269,4436
+,6313,7450,9219,7770,9062
+,705,4509,1429,4071,5088
+,1767,8404,3542,4907,1599
+,4498,5476,5108,9738,4557
+,2682,3068,7771,98,95
-,336,0,0,0,0
+,9816,8319,5779,6238,6590
+,3549,7465,5761,3319,3381
+,7872,7702,9553,790,4120
+,6928,9320,9363,3126,614
+,7888,6798,3787,5968,1585
+,1691,300,3293,1222,6156
+,5788,5754,9116,4601,1161
+,4248,967,3193,9153,1070
+,4955,2585,2759,6008,9444
+,5990,4784,4525,7672,321
+,3380,8548,4763,5883,9643
+,4863,4261,5143,7781,899
+,6214,7484,3509,1359,1381
+,5878,2850,2924,1600,6784
+,4957,8165,2197,8958,386
+,3797,3918,9009,5792,6841
+,4968,5729,9948,175,4453
+,1973,9906,9421,6439,4628
+,7882,6088,2211,5314,7435
+,3060,6736,3574,4794,9677
+,4428,4913,9058,2284,9200
+,1474,7129,5621,8753,1983
+,2187,913,3518,6565,6274
+,9576,9676,7182,4970,1064
+,2141,3225,7097,5702,3569
+,2200,6396,5340,8335,6241
+,3876,7085,1455,7273,8924
+,9372,3848,5174,3333,5541
+,9158,4485,2787,9696,4008
+,1396,1689,4955,7424,4414
-,931,0,0,0,0
+,3206,43,6171,3226,1990
+,1407,5483,8616,9557,6604
+,8014,7277,8225,2121,1034
+,7634,9632,7353,9827,4367
+,6093,9740,9220,2952,1900
+,461,7738,2180,9883,9767
+,5138,4294,6049,3137,6135
+,9088,7328,1426,2980,4300
+,8861,8445,2695,8819,9432
+,911,693,850,8349,2202
+,6970,4246,8663,4431,6188
+,9801,2604,8497,7440,3545
+,4956,817,1084,8650,7547
+,1626,911,9966,5858,7976
+,772,8938,4677,1997,1407
+,6083,9413,831,2006,7995
+,1815,458,6324,8503,4061
+,1500,746,472,8854,8721
+,1197,6065,1396,370,2956
+,1237,3698,3098,9412,5298
+,2508,3124,7280,9158,7171
-,375,0,0,0,0
+,5553,4022,9007,5194,4855
+,997,6722,1932,1536,423
+,6602,2474,8545,7825,4696
+,7331,8028,786,531,6268
+,2373,7907,9145,2964,2103
+,980,3613,2279,6634,71
+,9921,9415,1466,9214,9284
-,937,0,0,0,0
+,5566,9996,269,4959,7972
+,577,3277,1675,9655,1879
+,9104,4799,4476,9296,358
+,3490,6349,8443,3029,4559
-,587,0,0,0,0
+,8746,8305,7813,3424,4152
+,9628,1184,6638,9539,7879
+,8603,8744,2406,4904,3519
+,4128,7934,8943,3221,9035
+,1970,8363,7586,8599,9167
+,6638,104,5689,9073,332
+,9036,5334,8935,9570,1406
+,5969,6688,802,2358,7212
+,5218,3269,7838,6060,2557
+,5442,2601,6824,1400,2662
+,6413,6815,5608,8734,4539
+,5538,7150,3297,2390,36
+,1613,4671,3494,8866,7686
+,1167,4595,4195,5102,6284
+,2887,9225,5036,2029,612
+,1571,1676,2346,379,8067
+,1466,6539,7489,7725,8262
+,8187,2771,4836,5990,993
+,830,7337,2086,322,8597
-,618,0,0,0,0
+,7399,8885,8363,8281,713
+,4091,9467,8265,7435,3314
+,8905,4984,9889,7112,8845
+,5512,8641,9920,9169,8754
+,6078,8141,3616,4438,826
-,281,0,0,0,0
+,7225,9185,8324,1186,6241
+,9217,3037,2951,8189,8974
+,3477,9212,6142,7760,5576
+,4810,8567,5805,6541,1839
-,993,0,0,0,0
+,6582,1402,2585,3635,5346
+,6270,4063,918,3683,9673
+,2312,5954,106,9901,2622
+,8007,2573,702,2587,6086
+,6692,2835,1113,8147,974
+,9298,3221,4101,7100,9522
+,7775,7548,3387,7325,6053
+,399,7523,5845,731,2691
+,8599,8282,6793,7222,6633
+,7922,6783,8597,5717,1359
+,4298,2962,8043,1835,4169
+,2510,6281,120,5744,3012
+,7719,8414,5721,5355,9615
+,3240,8488,5810,3934,3133
+,5630,1288,6434,4197,5261
+,3286,8122,1477,7935,6183
+,5121,5059,6741,9158,6902
+,9661,3256,9426,814,202
+,7955,6103,3027,8674,7290
-,309,0,0,0,0
+,5490,799,9692,8861,779
+,9244,6076,1464,7588,647
+,4278,6249,8288,2104,7574
+,5573,3645,6045,6902,1902
+,9604,764,2538,4607,3897
+,1850,7124,2447,561,2725
-,446,0,0,0,0
+,9119,8919,8592,3998,8203
+,6854,5436,2025,435,7934
+,4230,349,5095,8194,1724
+,5311,3057,9512,2056,955
+,5686,2315,3798,5445,4445
+,5930,1079,6822,2477,4029
+,7521,4960,9987,2720,5614
-,8,0,0,0,0
+,8502,475,6573,5500,1725
+,1494,2653,2078,9200,7590
+,2439,2545,7733,3688,8203
+,9208,33,9426,2381,711
+,9589,9429,5762,3616,5180
+,9642,5191,8688,3457,5926
+,4335,1144,2208,5446,3109
+,2796,6567,8152,2938,5517
+,8075,2753,882,3122,6352
+,4160,4386,1720,3332,5007
+,1318,1092,3507,3036,7056
+,6473,691,9100,5918,3687
+,589,8064,1274,8074,9189
-,502,0,0,0,0
+,4024,771,5360,9519,2671
+,4536,8749,2731,5858,2473
+,7056,5613,858,7879,5624
+,3077,9493,2903,3429,2924
+,1646,2819,5652,5890,735
+,8442,8325,2917,2425,3308
+,4997,4045,8361,6087,2533
+,9187,6729,3131,7661,9270
+,7349,4231,1088,5163,2484
+,8473,8405,5492,3948,2931
-,920,0,0,0,0
+,2517,2919,510,9329,7350
+,402,9091,1798,5178,6459
+,6023,9704,1751,284,3132
+,6202,7581,3650,5122,2782
+,209,190,3559,4329,7924
+,1841,1941,7962,9333,8803
+,9253,4973,4252,9652,1966
+,8224,8663,7558,5767,8296
+,6671,6317,5375,822,5364
+,2763,1894,226,4213,2233
+,4370,9577,4913,4087,9372
-,412,0,0,0,0
+,197,1148,1605,2434,5581
+,5191,6184,4158,4649,4339
+,2234,2729,8231,2018,4222
+,286,3917,6553,5250,5351
+,7733,2668,7973,5613,6918
+,4716,2650,6597,729,6284
+,4468,913,1623,9632,1058
+,2803,4387,9680,4256,4109
+,3673,2869,1192,8548,6539
+,4044,4037,766,2563,6196
+,826,756,4647,9503,3213
+,3080,2804,1407,7849,3446
+,1263,5391,7112,1115,7859
+,2545,8527,8901,1481,3505
+,4189,8310,4870,7374,9027
+,9506,899,2940,614,6291
+,8340,6197,1424,243,6991
+,7444,4310,1309,563,5522
+,9737,9228,1785,9707,5054
+,3130,114,5645,4011,9557
+,9508,2315,7146,5642,884
+,6898,598,9213,2861,9398
+,2063,8692,5898,2613,8169
+,644,4695,9996,901,1796
-,120,0,0,0,0
+,4992,8677,9427,4080,9056
+,665,2418,5516,337,7543
+,1935,9924,7919,1875,1159
+,6813,1471,631,6385,3474
-,499,0,0,0,0
+,6358,1907,7030,8622,8308
+,8056,7895,3179,3191,4755
+,5322,1739,1216,7306,2732
+,6676,6817,8204,7945,7379
+,7450,4478,4488,1882,8924
+,7723,6520,1905,3955,8788
+,2620,9374,4105,5988,9254
+,3314,4396,1839,9271,4793
+,8101,136,7887,3409,3394
+,3606,9563,6130,1921,726
+,5227,2091,3079,6905,4763
+,2159,6938,2955,1733,1899
+,1166,129,7841,2112,6119
+,8585,9055,9423,4265,7000
+,4358,42,1260,1497,8285
+,5908,7505,3385,9507,1024
+,583,5157,6640,9997,2562
+,4669,1141,9147,1640,9840
+,9638,4925,7677,6247,1143
+,1392,1514,8731,9179,9304
+,2840,7231,3884,2049,2685
+,7488,8026,6864,7940,8771
+,5391,3930,9700,9234,3582
+,1165,8166,9014,5825,510
+,7018,519,3379,9824,4286
+,1483,8910,7781,2851,8555
+,3516,6680,5385,9012,3303
+,5794,8421,4177,2626,2377
+,4959,5740,3568,1105,8989
+,187,6443,1837,4852,4363
+,7410,2131,4815,8530,5984
+,4166,9126,6781,5858,7026
-,571,0,0,0,0
+,7151,2125,1991,2482,5102
+,3,1158,3566,8874,9191
-,303,0,0,0,0
+,2268,2648,764,6934,4351
+,7799,7488,3691,8932,5250
+,8111,4554,3805,7162,668
+,4486,7703,4428,3893,8470
+,4254,9584,7495,9377,8590
+,8331,7078,1036,6329,9681
+,2721,2607,2331,2151,2684
+,5619,6686,7940,4351,6889
+,6788,8088,105,6423,7842
+,8105,6250,3451,5634,2262
+,2443,7722,8260,5062,1924
+,4111,1722,6658,6501,6820
+,5239,9555,5354,3974,7194
+,3738,4720,8717,1099,7038
+,781,6587,1554,7073,2214
+,3390,328,4004,613,5987
+,852,5273,3664,5498,7983
+,2100,4441,9594,923,8512
+,3693,9111,2869,9048,49
+,6282,4336,6695,402,7851
+,6834,6478,3333,6406,5726
+,4284,1277,3311,6251,5207
+,6316,9169,5792,6529,5576
+,4131,2084,7115,9017,5195
+,2407,7716,9598,1692,9294
-,915,0,0,0,0
+,3287,3420,6948,6650,1142
+,2795,2130,6130,8824,1252
+,7255,1342,7618,8451,6201
+,1942,5906,1437,5158,7222
+,7306,2562,9561,3810,8635
+,9178,9420,2407,3860,4009
+,6620,9245,630,6240,7515
+,4036,6293,7178,355,5557
+,700,1341,1298,6755,1160
+,1865,8447,5639,5944,8116
+,3548,2291,8842,4588,9850
+,9815,6584,3342,791,4197
+,8958,8415,3727,8583,7294
-,438,0,0,0,0
+,7171,6356,1146,5540,1989
-,146,0,0,0,0
+,9503,6717,2422,4875,3793
+,8532,8696,3266,3872,1973
+,6645,9972,8646,2354,5847
+,7690,1548,3991,1661,8293
+,1176,2515,1217,4524,5488
+,6080,292,5837,1479,1939
+,721,4578,4019,8986,3961
+,3744,7729,1417,1969,2064
-,235,0,0,0,0
+,2007,6053,1544,9953,1382
+,8864,8776,4632,8025,6513
+,7651,6818,2422,5034,8792
+,2330,2707,9472,3732,4474
+,9281,1964,5516,1510,8032
+,8097,5712,5730,1257,261
+,6171,9149,3578,7753,9015
+,5448,9124,7819,8296,3176
+,7105,839,1445,9758,873
-,680,0,0,0,0
+,518,7332,7029,8677,1990
+,6509,2515,283,463,1440
+,8811,4696,7572,2175,9169
+,9983,8761,5703,1813,3007
+,3883,2562,7179,4937,8219
+,8168,2888,1756,2994,1812
+,9168,2226,8416,7447,772
+,819,9796,1407,4048,18
+,766,8164,6198,2994,7384
+,4172,3610,3205,3862,5409
+,7987,8128,9579,5837,6211
-,682,0,0,0,0
+,5098,914,9676,4427,6573
+,535,8155,9639,3422,2893
+,5854,798,7668,4870,857
+,9147,9442,701,8125,1688
+,2344,221,1653,5311,3907
+,5882,2214,2873,7522,9149
+,5485,8224,8162,6456,6780
+,6948,7960,3518,651,4359
+,8721,6164,4788,2519,7161
+,7403,6645,4870,607,5747
+,8091,7220,3554,476,9888
+,4463,6419,3637,6776,4849
+,6935,261,7938,4151,8601
+,2295,518,848,6784,1412
+,1066,9758,9176,5803,8997
+,9877,5605,4026,2602,4913
+,9794,900,6749,1621,231
+,5977,9441,8787,1340,1806
+,2026,8381,218,722,9730
+,7501,4833,8089,4225,511
+,9820,4391,7466,6482,3145
+,5030,8221,490,4396,7855
+,4213,3372,328,5265,3625
+,8253,2269,1534,4404,7339
+,9876,5511,147,3346,3700
+,1697,9254,4572,1570,3931
+,761,8371,6370,138,9767
+,8668,6913,6022,2980,9849
+,7229,5353,4537,4140,6101
+,5325,1894,3118,9460,5842
+,5355,5676,546,9651,231
+,414,6959,9876,149,9448
-,163,0,0,0,0
+,8188,9301,1579,6457,8735
+,9620,9560,5439,4219,2528
+,7915,2285,5145,3734,2736
+,6422,9623,6402,7462,3697
+,640,4321,394,9533,9734
+,7836,2305,9652,8239,2538
+,5275,2431,4196,5839,6599
+,2260,6309,7662,560,5393
+,6510,2716,2658,98,3837
+,5597,8317,1714,1104,9508
+,1261,8112,2259,4090,4804
-,456,0,0,0,0
+,5845,9587,6556,5598,6373
+,8226,527,5109,3865,4067
+,1366,4201,2961,2021,4259
+,6175,8230,1481,3405,5015
+,3307,3057,3442,7563,5974
+,3818,8278,6638,2817,5817
+,3066,8080,7337,9112,3592
+,9138,2198,3564,1628,2708
+,4444,5955,7780,7896,2343
+,354,7575,5367,96,6876
+,989,5805,2556,2731,1820
+,9185,4596,2829,5948,6592
+,6781,2563,6720,3965,5196
+,6377,842,1530,3886,8151
+,4186,8659,6467,4021,3069
+,2996,9733,2554,9867,9784
+,9007,9032,7441,9697,2075
+,136,7151,1615,5973,7472
+,5484,9088,3974,6886,7579
+,9964,5270,5072,530,106
+,1090,8123,5926,2889,9170
+,323,3932,9223,2806,3537
+,2658,3643,9834,9205,3264
+,372,2775,6590,7822,2552
+,3608,6598,7961,7267,1723
+,7717,9618,9378,7874,993
+,9657,7307,3885,4135,4238
-,857,0,0,0,0
+,4656,2323,2598,7753,8421
+,949,1360,9815,9377,7828
+,7071,9372,9086,1166,2348
-,200,0,0,0,0
+,2890,9627,1276,3418,4691
+,9366,5942,6437,1685,5981
-,508,0,0,0,0
+,1527,7760,1042,1071,5341
+,1000,6417,383,3952,4072
+,6932,4739,9383,9849,6709
+,4132,1776,2548,193,5561
-,538,0,0,0,0
+,5928,7336,6477,2676,1537
+,9407,1035,7704,7182,6802
+,6190,7044,1078,8392,5509
+,9505,940,5604,301,4753
+,4217,8384,4228,1171,4476
+,1255,6461,4148,7649,5990
-,680,0,0,0,0
+,1538,6834,6937,6976,6484
-,156,0,0,0,0
+,751,1388,7946,2935,8384
-,553,0,0,0,0
+,9013,9501,7523,8523,8977
+,7365,1351,9490,7515,7500
+,4013,8472,1543,7154,3760
+,7934,2992,4353,5511,5746
+,7043,9284,6249,1636,4229
+,7093,5689,494,1281,4691
+,7094,698,1687,2517,7856
+,1695,3827,2041,9810,3216
+,2316,7887,5965,6899,120
+,1037,8468,9197,4463,944
+,9950,2339,2433,7182,3064
+,311,5603,2126,3488,2098
-,353,0,0,0,0
+,1468,189,7279,9932,954
+,9090,3987,9467,3134,4463
+,5899,6913,9571,6001,4874
+,1016,9679,7995,2441,5493
+,3912,8593,8202,2341,3846
+,6541,3205,9822,172,9330
+,6939,3958,4969,7569,5266
-,151,0,0,0,0
+,4409,5890,3292,1961,1669
+,6820,6692,7610,8078,8395
+,8359,5331,5304,2040,1204
+,5013,6660,8271,2090,1152
+,121,7059,8491,5970,459
+,3882,4775,2697,4551,8986
+,5543,1431,2068,6228,5259
+,7154,1998,8609,628,5286
+,1807,2620,6558,2970,486
+,9256,7441,5881,2816,4450
+,9637,9072,1096,8734,6458
+,6780,5018,2351,1908,5884
+,3777,5822,146,8018,4887
+,6100,3203,1348,6280,8179
+,9733,4167,9185,1646,5951
+,8872,2255,4255,4592,196
+,3182,6570,5510,5649,7891
+,8983,4788,2641,2956,3595
+,2744,9949,3432,2058,4604
-,295,0,0,0,0
+,4678,7461,2675,2136,3467
+,1858,8212,9097,6946,1733
+,1552,218,6038,4042,1949
+,10,2095,3752,8264,961
+,7560,2845,5093,2246,1666
+,2134,7613,6182,9485,9888
+,8957,4284,3862,1604,191
+,3312,6688,3906,7968,4576
+,8042,7301,6,4253,9019
+,7020,3276,8125,6801,5533
+,5889,374,9478,402,9346
+,2758,7156,3396,8375,3774
-,580,0,0,0,0
+,5186,8203,6176,3747,6496
+,5122,6082,4904,2990,5138
+,7343,6097,3161,2520,7767
+,156,9128,7815,7153,6597
+,8810,8946,7047,8012,2581
+,2945,8934,6456,1171,1676
+,9650,9922,9884,6473,7376
+,8301,113,931,6,66
+,9405,3529,7902,9004,4825
+,2046,407,1501,8194,2585
-,99,0,0,0,0
+,9094,9358,2141,9027,3852
+,6900,7319,3604,961,2765
+,9377,5087,8642,6863,5255
+,7627,3891,9916,8343,7312
+,958,2824,1633,4470,4820
+,904,4421,6652,7990,9452
+,497,7466,2935,214,8075
-,984,0,0,0,0
+,2867,5744,4077,9186,7138
+,3388,8852,61,5658,4690
+,2296,228,1455,1747,8088
+,5376,2290,3699,5202,1169
+,7764,3493,1793,8838,9579
+,2272,6884,4419,7147,9708
-,264,0,0,0,0
+,8080,7581,2065,8938,9375
-,192,0,0,0,0
+,6883,6770,7462,5936,9880
-,482,0,0,0,0
+,1068,7169,6935,1222,3131
+,8937,643,1056,6328,7644
+,898,7547,1231,5989,6180
+,8804,1219,7736,8381,9920
+,4394,6799,4939,2645,7329
+,8212,1311,2339,4817,2849
+,5015,5459,188,8488,5303
+,5339,1250,6324,9559,1415
+,9515,6163,383,8519,9930
-,32,0,0,0,0
+,9929,8776,6777,1687,3014
+,8468,1295,840,3327,1107
+,8245,7778,5502,9606,7675
+,304,599,365,3826,6508
+,1512,3960,9938,7730,2336
+,7540,9151,4951,9780,6863
+,1100,4520,9542,1777,6991
+,584,5900,147,2048,6577
+,3225,2169,8895,9422,3100
+,5132,369,3507,9257,8606
+,1779,5985,1818,9060,3769
+,6237,1149,7528,32,236
+,2230,2814,2495,2641,2735
+,7301,66,4885,5074,2540
+,6097,4507,8005,1041,9111
+,7158,2659,7898,2735,977
+,7045,4692,1400,3802,4333
+,4776,9964,3271,8203,9713
-,672,0,0,0,0
+,5724,8924,7536,9356,4027
+,7884,910,4156,1430,4252
+,7354,5481,3733,2989,9326
+,9426,7969,303,8223,6835
+,3454,3590,6080,7022,9048
-,319,0,0,0,0
+,2897,6716,9180,3901,6174
+,9575,1566,4851,6549,4020
+,5901,266,4149,9963,6593
+,5601,7394,946,5245,3979
+,4127,5177,6797,9888,1411
+,6374,3232,5396,8540,4689
+,2760,7783,1840,3565,5166
+,7307,6206,3019,3493,3617
+,5522,1591,3624,8171,5151
+,24,730,6358,8418,990
+,6861,527,2030,4373,4890
+,4408,1519,1018,7305,6567
+,4943,4534,4684,5338,1755
-,37,0,0,0,0
+,5918,8819,3356,6493,5811
+,6273,4013,463,300,3593
+,4887,8296,8393,1843,5151
+,8500,9096,4300,6974,8869
+,2736,9976,8946,2507,3991
+,5113,8104,8614,6440,6475
+,8251,179,6529,3427,7416
+,6920,4516,7002,3460,9326
+,3495,7489,1764,9911,1759
-,453,0,0,0,0
-,589,0,0,0,0
+,7074,5177,9091,8946,3691
+,2698,9050,4236,248,3008
+,9494,8337,3759,4345,7195
+,9555,7317,8642,5229,3196
+,84,8127,5996,8313,9012
+,8079,3405,6954,6816,9130
-,198,0,0,0,0
+,8565,7739,9911,7449,3042
+,7990,8505,2130,4068,4034
+,2471,1665,384,4668,8910
+,8232,9900,8328,6450,4126
+,6014,5976,4238,6910,7319
+,1113,9771,4900,9356,67
+,3486,8522,4890,4826,8522
+,9647,7407,517,4400,9198
+,5053,5869,5688,6261,8081
+,939,561,7642,7339,6559
+,1755,4301,9646,4159,1141
+,6384,7423,7600,6305,5815
+,3596,2412,8540,2793,4291
+,3700,1044,7329,7408,1597
+,5343,2023,7277,873,4144
+,529,1697,5286,8064,2228
+,4991,3533,1915,5832,1311
+,5111,1653,5993,4298,4378
+,1445,3905,9715,7670,7528
+,5379,6614,8368,2488,9073
-,50,0,0,0,0
+,4689,204,7586,8354,7484
+,248,2968,901,6687,766
+,5784,2723,8425,3689,3225
-,692,0,0,0,0
-,235,0,0,0,0
+,1265,6623,2507,4510,4206
+,2204,7088,5486,4999,1521
+,6010,4421,2879,6067,532
+,9928,768,6960,5077,6392
+,9430,5477,4413,2701,2454
+,1455,7484,4091,337,5152
+,559,9445,8676,9434,8214
+,4003,5566,7868,3917,1008
+,5475,182,8703,5309,9090
+,5944,6826,1851,278,3406
+,4246,1916,7410,6412,8483
+,1109,6450,3961,1275,7544
+,3692,2239,9775,9354,740
+,8060,2026,9225,5623,570
+,9024,3863,9303,8001,6288
+,4308,2394,6374,3465,5630
+,6508,7725,4712,7285,2282
+,2455,4308,2962,3454,451
+,485,7324,416,1715,1954
+,7837,7030,1630,6565,1701
+,4321,747,7071,5739,6514
+,8946,3739,9607,2764,5006
-,660,0,0,0,0
+,2823,9365,9106,2523,666
+,6850,3713,5673,3180,2433
+,5560,4042,2954,3705,2914
+,5503,2973,7709,7907,6253
+,9021,1381,2359,2020,1304
+,8641,1348,9089,9767,954
+,5473,9993,3310,847,7791
+,3823,6159,1144,526,5788
+,8824,2754,1195,9070,6085
+,3832,2375,8662,7747,7320
+,7907,7695,3221,347,5585
+,3794,8147,9211,1758,6796
+,824,899,9263,7377,7113
+,8766,5316,5656,3443,5212
+,4878,1900,7771,2201,4345
+,7802,2077,2759,7371,3950
+,1664,8960,2237,1934,5086
+,7649,7420,1724,5402,6367
-,947,0,0,0,0
+,855,2998,9273,3117,2525
+,9107,7500,7593,9504,2532
+,7170,9279,4082,4995,3894
+,9670,6092,9873,5386,9447
+,9115,3524,731,2592,5976
+,6608,3253,8320,211,3518
+,6826,783,2615,6022,974
+,9568,293,6658,6215,9103
-,545,0,0,0,0
+,6586,5001,8862,8501,4818
+,8137,2329,5594,4085,558
+,7323,951,8521,8732,6524
+,7350,8491,2549,7475,5706
+,1845,6105,618,3195,9508
+,8438,357,7324,7800,6948
+,7631,6341,6300,638,5988
+,5126,2748,2825,499,5032
+,7567,5746,1168,3381,492
+,3949,7807,8789,5718,9540
+,2742,5745,6032,5068,1910
+,1097,6401,9503,1191,8117
+,4938,2228,9845,8825,1259
+,6119,3896,3594,3031,9820
+,2564,7825,9412,1937,2726
-,814,0,0,0,0
+,2401,8532,3035,9293,1908
+,7976,5350,5776,1334,6681
+,3108,5268,6404,3245,8837
+,6441,7228,6578,7978,249
+,8940,339,3546,3707,1959
+,1528,8337,2470,4807,776
+,3968,4909,2344,3788,3939
+,89,2556,808,4649,3292
+,4585,1399,613,4198,5027
+,3238,6942,3340,2529,1687
+,6736,980,8951,4232,3156
+,5278,9583,8466,9337,8435
+,3270,5314,6845,900,9204
+,2566,6522,8095,9886,8884
-,389,0,0,0,0
+,6045,1777,3260,584,8611
+,8128,627,147,1960,3835
+,419,4216,5432,5090,6046
+,3056,7942,1736,616,8996
-,207,0,0,0,0
+,87,5908,264,3324,9548
+,3851,4422,2075,9338,2263
+,7298,7719,4340,1536,6454
+,4102,7393,7725,9950,5297
+,5080,2254,5894,4806,881
-,45,0,0,0,0
+,6660,2377,1239,3151,8932
